podyezd,distance_to_metro_m
482,2874.0233071219463
483,2916.2064210033054
484,2898.228442659467
485,2862.852778884447
486,2815.493152590836
487,2689.83523734857
488,2841.246846016552
489,2706.122252931363
490,2694.5056138803607
491,2701.3422166766813
492,2647.8013775082354
493,2670.197926596417
494,2571.2247329615902
495,2586.5791658234016
496,2646.6798264881227
497,2679.158399114874
498,2747.0041602470787
499,2786.1778756544654
500,2815.462692452644
501,2803.8154040735903
502,2637.7931512728705
503,2766.619462905879
504,2787.3038532750834
505,2678.409438160154
506,2720.264000703659
507,2760.1708678949562
508,2571.8751414010803
509,2582.4859486298847
510,2694.338754808102
511,2564.5676759788375
512,2572.055680769341
513,2565.9863597632657
514,2504.097068814935
515,2486.8878244595253
516,2332.071634685747
517,2334.2596980631374
518,2639.147557022249
519,2664.938205556617
520,2712.9321641345878
521,2673.4287935788625
522,2306.2338532672634
523,2990.300273160023
524,2950.787472403127
525,2918.1892666251306
526,2841.31803723586
527,2880.21888770192
528,2884.465398730786
529,2876.5358255472092
530,2820.981778357919
531,2757.2559875106217
532,2727.3059755605086
533,2885.9693434129445
534,2646.934268843284
535,2655.6623900099994
536,2631.4096008161246
537,2615.9757582883753
538,2565.02368365326
539,2538.194026098368
540,2489.7839629980654
541,2486.907319003474
542,2473.082347694916
543,2480.1993266290374
544,2379.6617320531604
545,2338.6986617858665
546,2398.789870928781
547,2302.618336214031
548,2363.6026174752706
549,2367.306832363219
550,2380.357525767825
551,2366.353085343513
552,2317.2955703283405
553,2344.072734101524
554,2352.8781630394346
555,2370.99634453702
556,2423.070921533869
557,2440.570337748165
558,2440.6309993839955
559,2842.2365292060995
560,2393.102617908583
561,2418.6578508970956
562,2346.8447879253717
563,2330.3973369189466
564,2292.1193175468725
565,2297.3900545402244
566,2350.6552495342307
567,2432.3611049426345
568,2463.2877162209707
569,2522.0912740301205
570,2543.584790423729
571,2573.5059605578667
572,2538.908122008761
573,2587.0560553593677
574,2590.8888489101832
575,2623.912652545036
576,2560.36240879011
577,2509.2012204957537
578,2482.384222988087
579,2481.3225015176586
580,2457.2297812127013
581,2454.496085916769
582,2434.941446624555
583,2448.3125262978
584,2435.5427096571902
585,2013.0410262079552
586,2049.2062788544877
587,2103.303341249012
588,2079.1078396439148
589,2165.4099380478424
590,2188.867851928725
591,2342.296206853213
592,2415.490940469877
593,2594.1143447124045
594,2450.180272762385
595,2461.086941655053
596,2479.2597065302975
597,2498.667701176866
598,2579.4767593767624
599,2556.2236222317097
600,2649.971772645551
601,2658.656214667755
602,2635.2450513008785
603,2664.831814083138
604,2696.036935521073
605,2726.8679748589925
606,2575.4914996369644
607,2663.451378859081
608,2613.314137746019
609,2637.3706083200573
610,2661.5966837643796
611,2650.3251015988762
612,2603.9405330659447
613,2619.8305793931895
614,3108.8429025954747
615,3078.798291894527
616,3244.6182294019327
617,3259.797950263374
618,3119.873376664043
619,3517.5124252076394
620,3377.6834185832404
